subject_code_1;subject_code_2;n_cooc;difficulty_score_both
05.557;22.400;70;0.085714
05.558;05.554;2584;0.0387
05.558;05.555;1888;0.173729
05.558;05.556;2046;0.186217
05.558;05.557;1570;0.010191
05.558;05.558;0;0
05.558;05.559;611;0.042553
05.558;05.560;547;0.003656
05.558;05.561;777;0.018018
05.558;05.562;1208;0.099338
05.558;05.563;550;0.050909
05.558;05.564;873;0.02291
05.558;05.565;773;0.042691
05.558;05.566;622;0.016077
05.558;05.567;777;0.005148
05.558;05.568;1136;0.044894
05.558;05.569;1000;0.059
05.558;05.570;840;0.108333
05.558;05.571;693;0.036075
05.558;05.572;494;0.006073
05.558;05.573;1085;0.046083
05.558;05.574;180;0.005556
05.558;05.575;474;0.018987
05.558;05.576;33;0
05.558;05.577;59;0
05.558;05.578;116;0
05.558;05.579;140;0
05.558;05.580;43;0
05.558;05.581;20;0
05.558;05.582;333;0.018018
05.558;05.583;29;0.034483
05.558;05.584;81;0.037037
05.558;05.585;635;0.011024
05.558;05.586;112;0.017857
05.558;05.587;37;0
05.558;05.588;21;0
05.558;05.589;236;0.016949
05.558;05.590;853;0.031653
05.558;05.591;221;0
05.558;05.592;18;0
05.558;05.593;147;0
05.558;05.594;40;0
05.558;05.595;498;0
05.558;05.596;272;0.011029
05.558;05.597;61;0
05.558;05.598;46;0
05.558;05.599;42;0
05.558;05.600;51;0.019608
05.558;05.601;60;0
05.558;05.604;87;0.011494
05.558;05.607;63;0.015873
05.558;05.611;786;0.03944
05.558;05.613;210;0
05.558;05.614;76;0.013158
05.558;05.615;512;0
05.558;05.616;40;0
05.558;22.400;45;0.022222
05.559;05.554;3327;0.183649
05.559;05.555;655;0.018321
05.559;05.556;1938;0.003612
05.559;05.557;852;0.070423
05.559;05.558;607;0.016474
05.559;05.559;0;0
05.559;05.560;1112;0.005396
05.559;05.561;773;0.027167
05.559;05.562;820;0.114634
05.559;05.563;595;0.094118
05.559;05.564;619;0.022617
05.559;05.565;697;0.080344
05.559;05.566;385;0.054545
05.559;05.567;616;0.017857
05.559;05.568;471;0.065817
05.559;05.569;380;0.026316
05.559;05.570;806;0.172457
05.559;05.571;460;0.06087
05.559;05.572;357;0.014006
05.559;05.573;492;0.046748
05.559;05.574;194;0
05.559;05.575;420;0.033333
05.559;05.576;48;0.020833
05.559;05.577;42;0.02381
05.559;05.578;50;0
05.559;05.579;93;0.010753
05.559;05.580;68;0.058824
05.559;05.581;42;0.047619
05.559;05.582;269;0.04461
05.559;05.583;54;0.037037
05.559;05.584;105;0.047619
05.559;05.585;573;0.015707
05.559;05.586;105;0.028571
05.559;05.587;59;0.033898
05.559;05.588;44;0
05.559;05.589;216;0.037037
05.559;05.590;553;0.034358
05.559;05.591;211;0.004739
05.559;05.592;18;0.055556
05.559;05.593;123;0
05.559;05.594;29;0.034483
05.559;05.595;519;0
05.559;05.596;225;0
05.559;05.597;88;0.011364
05.559;05.598;63;0.015873
