subject_code_1;subject_code_2;n_cooc;difficulty_score_any
05.557;05.592;43;0.069767
05.557;05.593;165;0.133333
05.557;05.594;60;0.1
05.557;05.595;775;0.188387
05.557;05.596;473;0.205074
05.557;05.597;124;0.120968
05.557;05.598;148;0.060811
05.557;05.599;81;0.148148
05.557;05.600;87;0.172414
05.557;05.601;104;0.125
05.557;05.604;94;0.223404
05.557;05.607;72;0.138889
05.557;05.611;1502;0.121838
05.557;05.613;600;0.035
05.557;05.614;387;0.307494
05.557;05.615;1213;0.198681
05.557;05.616;66;0.121212
05.557;22.400;70;0.314286
05.558;05.554;5301;0.179777
05.558;05.555;4936;0.406807
05.558;05.556;3110;0.344695
05.558;05.557;2689;0.035329
05.558;05.558;0;0
05.558;05.559;1224;0.173203
05.558;05.560;1183;0.153001
05.558;05.561;1508;0.154509
05.558;05.562;2245;0.267706
05.558;05.563;1250;0.2504
05.558;05.564;1708;0.172717
05.558;05.565;1616;0.205446
05.558;05.566;1476;0.186992
05.558;05.567;1549;0.151065
05.558;05.568;2178;0.171717
05.558;05.569;1731;0.189486
05.558;05.570;1791;0.335008
05.558;05.571;1228;0.213355
05.558;05.572;1071;0.141923
05.558;05.573;2003;0.231153
05.558;05.574;322;0.074534
05.558;05.575;1044;0.176245
05.558;05.576;100;0.31
05.558;05.577;153;0.045752
05.558;05.578;241;0.045643
05.558;05.579;392;0.048469
05.558;05.580;95;0.157895
05.558;05.581;54;0.203704
05.558;05.582;668;0.218563
05.558;05.583;62;0.177419
05.558;05.584;163;0.171779
05.558;05.585;1157;0.165082
05.558;05.586;199;0.226131
05.558;05.587;95;0.231579
05.558;05.588;120;0.016667
05.558;05.589;445;0.211236
05.558;05.590;1375;0.188364
05.558;05.591;487;0.117043
05.558;05.592;45;0.066667
05.558;05.593;233;0.124464
05.558;05.594;75;0.133333
05.558;05.595;607;0.107084
05.558;05.596;457;0.170678
05.558;05.597;160;0.2125
05.558;05.598;178;0.101124
05.558;05.599;92;0.163043
05.558;05.600;127;0.267717
05.558;05.601;126;0.134921
05.558;05.604;146;0.219178
05.558;05.607;106;0.179245
05.558;05.611;1683;0.148544
05.558;05.613;625;0.0528
05.558;05.614;217;0.133641
05.558;05.615;877;0.145952
05.558;05.616;98;0.183673
05.558;22.400;45;0.244444
05.559;05.554;4697;0.261018
05.559;05.555;1835;0.049046
05.559;05.556;3410;0.024633
05.559;05.557;1706;0.152403
05.559;05.558;1208;0.104305
05.559;05.559;0;0
05.559;05.560;1902;0.022082
05.559;05.561;1937;0.195663
05.559;05.562;2431;0.450432
05.559;05.563;1338;0.268311
05.559;05.564;1130;0.148673
05.559;05.565;1381;0.213613
05.559;05.566;931;0.168636
05.559;05.567;1167;0.113967
05.559;05.568;1000;0.169
05.559;05.569;771;0.155642
05.559;05.570;1593;0.396736
05.559;05.571;828;0.176329
05.559;05.572;755;0.100662
05.559;05.573;1072;0.241604
05.559;05.574;330;0.054545
05.559;05.575;865;0.137572
05.559;05.576;94;0.170213
05.559;05.577;109;0.100917
05.559;05.578;119;0.159664
05.559;05.579;241;0.078838
05.559;05.580;108;0.240741
05.559;05.581;67;0.134328
05.559;05.582;526;0.209125
05.559;05.583;84;0.178571
05.559;05.584;182;0.10989
05.559;05.585;922;0.14859
05.559;05.586;173;0.202312
05.559;05.587;112;0.178571
05.559;05.588;136;0.051471
05.559;05.589;395;0.174684
05.559;05.590;942;0.149682
05.559;05.591;441;0.07483
05.559;05.592;40;0.15
05.559;05.593;184;0.092391
05.559;05.594;65;0.215385
05.559;05.595;610;0.065574
05.559;05.596;338;0.08284
05.559;05.597;151;0.10596
05.559;05.598;175;0.028571
05.559;05.599;101;0.079208
05.559;05.600;119;0.117647
05.559;05.601;96;0.15625
05.559;05.604;126;0.166667
05.559;05.607;95;0.147368
05.559;05.611;876;0.142694
05.559;05.613;393;0.104326
05.559;05.614;1008;0.308532
05.559;05.615;819;0.081807
05.559;05.616;217;0.119816
05.559;22.400;41;0.170732
05.560;05.554;3548;0.431229
05.560;05.555;1113;0.171608
05.560;05.556;1450;0.04
05.560;05.557;1731;0.181398
05.560;05.558;598;0.028428
05.560;05.559;2191;0.056595
05.560;05.560;0;0
05.560;05.561;1085;0.045161
05.560;05.562;1097;0.227894
05.560;05.563;749;0.145527
05.560;05.564;1037;0.089682
05.560;05.565;991;0.130172
05.560;05.566;891;0.093154
05.560;05.567;1050;0.053333
05.560;05.568;913;0.104053
05.560;05.569;762;0.114173
05.560;05.570;923;0.266522
05.560;05.571;800;0.12875
05.560;05.572;715;0.047552
05.560;05.573;970;0.219588
05.560;05.574;319;0.025078
05.560;05.575;733;0.069577
05.560;05.576;113;0.132743
05.560;05.577;92;0.043478
05.560;05.578;91;0.087912
05.560;05.579;208;0.086538
05.560;05.580;84;0.142857
05.560;05.581;78;0.128205
05.560;05.582;473;0.131078
05.560;05.583;86;0.174419
05.560;05.584;179;0.089385
05.560;05.585;758;0.105541
05.560;05.586;208;0.115385
05.560;05.587;126;0.111111
05.560;05.588;143;0.027972
05.560;05.589;423;0.137116
05.560;05.590;812;0.087438
05.560;05.591;401;0.037406
05.560;05.592;51;0.117647
05.560;05.593;191;0.094241
05.560;05.594;61;0.229508
05.560;05.595;516;0.044574
05.560;05.596;318;0.059748
05.560;05.597;184;0.11413
05.560;05.598;186;0.032258
05.560;05.599;139;0.129496
05.560;05.600;121;0.099174
05.560;05.601;102;0.107843
05.560;05.604;141;0.092199
05.560;05.607;107;0.149533
05.560;05.611;892;0.091928
05.560;05.613;337;0.068249
05.560;05.614;313;0.13099
05.560;05.615;728;0.03022
05.560;05.616;376;0.135638
05.560;22.400;39;0.230769
05.561;05.554;103;0.106796
05.561;05.555;163;0.03681
05.561;05.556;233;0.021459
05.561;05.557;422;0.028436
05.561;05.558;74;0.054054
05.561;05.559;54;0.074074
05.561;05.560;581;0.122203
05.561;05.561;0;0
05.561;05.562;3482;0.336301
05.561;05.563;1920;0.200521
05.561;05.564;2438;0.040197
05.561;05.565;2928;0.127049
05.561;05.566;1669;0.054524
05.561;05.567;3493;0.014887
05.561;05.568;1187;0.122157
05.561;05.569;922;0.133406
05.561;05.570;2436;0.358374
05.561;05.571;967;0.149948
05.561;05.572;1470;0.036735
05.561;05.573;1283;0.201871
05.561;05.574;713;0.001403
05.561;05.575;2209;0.033047
05.561;05.576;86;0.127907
05.561;05.577;109;0.110092
05.561;05.578;126;0.095238
05.561;05.579;266;0.048872
05.561;05.580;64;0.15625
05.561;05.581;48;0.166667
05.561;05.582;497;0.150905
05.561;05.583;49;0.163265
05.561;05.584;139;0.071942
05.561;05.585;1944;0.046296
05.561;05.586;176;0.147727
05.561;05.587;88;0.170455
05.561;05.588;131;0.022901
05.561;05.589;369;0.162602
05.561;05.590;1685;0.059347
05.561;05.591;1332;0.006757
05.561;05.592;42;0.02381
05.561;05.593;132;0.090909
05.561;05.594;45;0.155556
05.561;05.595;1789;0.005031
05.561;05.596;843;0.013049
05.561;05.597;117;0.034188
05.561;05.598;178;0.02809
05.561;05.599;88;0.022727
05.561;05.600;106;0.075472
05.561;05.601;91;0.197802
05.561;05.604;115;0.095652
05.561;05.607;79;0.101266
05.561;05.611;1207;0.112676
05.561;05.613;422;0.061611
05.561;05.614;884;0.19457
05.561;05.615;3154;0.000317
05.561;05.616;76;0.026316
05.561;22.400;70;0.214286
05.562;05.554;65;0.153846
05.562;05.555;136;0.080882
05.562;05.556;2048;0.061035
05.562;05.557;179;0.139665
05.562;05.558;82;0.134146
05.562;05.559;129;0.015504
05.562;05.560;397;0.108312
05.562;05.561;1727;0.077012
05.562;05.562;0;0
05.562;05.563;2500;0.4172
05.562;05.564;1592;0.216709
05.562;05.565;2426;0.3446
05.562;05.566;1288;0.15295
05.562;05.567;1785;0.183754
05.562;05.568;1789;0.231973
05.562;05.569;1304;0.180982
05.562;05.570;3688;0.489967
05.562;05.571;1207;0.275062
05.562;05.572;1150;0.101739
05.562;05.573;1371;0.162655
05.562;05.574;362;0.151934
05.562;05.575;1311;0.184592
05.562;05.576;84;0.166667
05.562;05.577;158;0.037975
05.562;05.578;229;0.030568
05.562;05.579;403;0.024814
05.562;05.580;74;0.108108
05.562;05.581;53;0.188679
05.562;05.582;554;0.176895
05.562;05.583;55;0.181818
05.562;05.584;125;0.136
05.562;05.585;1198;0.239566
05.562;05.586;161;0.236025
05.562;05.587;56;0.232143
05.562;05.588;127;0.015748
05.562;05.589;364;0.167582
05.562;05.590;1524;0.265748
05.562;05.591;775;0.132903
05.562;05.592;47;0.085106
05.562;05.593;169;0.16568
05.562;05.594;63;0.095238
05.562;05.595;798;0.206767
05.562;05.596;447;0.212528
05.562;05.597;115;0.13913
05.562;05.598;156;0.141026
05.562;05.599;90;0.166667
05.562;05.600;90;0.166667
05.562;05.601;103;0.126214
05.562;05.604;103;0.242718
05.562;05.607;87;0.172414
05.562;05.611;1678;0.198451
05.562;05.613;593;0.037099
05.562;05.614;1901;0.470279
05.562;05.615;1382;0.165702
05.562;05.616;76;0.078947
05.562;22.400;68;0.529412
05.563;05.554;1280;0.021875
