subject_code_1;subject_code_2;overlap_data
05.554;05.554;0
05.554;05.555;0.709924
05.554;05.556;0.572519
05.554;05.557;0.641221
05.554;05.558;0.748092
05.554;05.559;0.709924
05.554;05.560;0.641221
05.554;05.561;0.839695
05.554;05.562;0.618321
05.554;05.563;0.70229
05.554;05.564;0.816794
05.554;05.565;0.709924
05.554;05.566;0.687023
05.554;05.567;0.633588
05.554;05.568;0.374046
05.554;05.569;0.564885
05.554;05.570;0.671756
05.554;05.571;0.694656
05.554;05.572;0.572519
05.554;05.573;0.519084
05.554;05.574;0.648855
05.554;05.575;0.641221
05.554;05.576;0.847328
05.554;05.577;0.641221
05.554;05.578;0.748092
05.554;05.579;0.496183
05.554;05.580;0.709924
05.554;05.581;0.839695
05.554;05.582;0.48855
05.554;05.583;0.755725
05.554;05.584;0.770992
05.554;05.585;0.541985
05.554;05.586;0.748092
05.554;05.587;0.89313
05.554;05.588;0.641221
05.554;05.589;0.770992
05.554;05.590;0.839695
05.554;05.591;0.687023
05.554;05.592;0.679389
05.554;05.593;0.618321
05.554;05.594;0.70229
05.554;05.595;0.816794
05.554;05.596;0
05.554;05.597;0.816794
05.554;05.598;0.908397
05.554;05.599;0.778626
05.554;05.600;0.687023
05.554;05.601;0.816794
05.554;05.604;0.633588
05.554;05.607;0.374046
05.554;05.611;0.740458
05.554;05.613;0.854962
05.554;05.614;0.564885
05.554;05.615;0.671756
05.554;05.616;0.908397
05.554;22.400;0.854962
05.555;05.554;0.694656
05.555;05.555;0
05.555;05.556;0.572519
05.555;05.557;0.618321
05.555;05.558;0.770992
05.555;05.559;0.725191
05.555;05.560;0.656489
05.555;05.561;0.770992
05.555;05.562;0.664122
05.555;05.563;0.671756
05.555;05.564;0.748092
05.555;05.565;0.519084
05.555;05.566;0.648855
05.555;05.567;0.633588
05.555;05.568;0.351145
05.555;05.569;0.564885
05.555;05.570;0.694656
05.555;05.571;0.625954
05.555;05.572;0.648855
05.555;05.573;0.519084
05.555;05.574;0.709924
05.555;05.575;0.625954
05.555;05.576;0.717557
05.555;05.577;0.641221
05.555;05.578;0.847328
05.555;05.579;0.496183
05.555;05.580;0
05.555;05.581;0.679389
05.555;05.582;0.48855
05.555;05.583;0.625954
05.555;05.584;0.679389
05.555;05.585;0.435115
05.555;05.586;0.664122
05.555;05.587;0.732824
05.555;05.588;0
05.555;05.589;0.671756
05.555;05.590;0.496183
05.555;05.591;0.694656
05.555;05.592;0.70229
05.555;05.593;0
05.555;05.594;0.839695
05.555;05.595;0.48855
05.555;05.596;0.755725
05.555;05.597;0.717557
05.555;05.598;0.770992
05.555;05.599;0.755725
05.555;05.600;0.770992
05.555;05.601;0.709924
05.555;05.604;0.541985
05.555;05.607;0.748092
05.555;05.611;0.717557
05.555;05.613;0.763359
05.555;05.614;0.89313
05.555;05.615;0
05.555;05.616;0.770992
05.555;22.400;0.770992
05.556;05.554;0.770992
05.556;05.555;0
05.556;05.556;0
05.556;05.557;0.526718
05.556;05.558;0.572519
05.556;05.559;0.572519
05.556;05.560;0.519084
05.556;05.561;0.572519
05.556;05.562;0.496183
05.556;05.563;0.519084
05.556;05.564;0.549618
05.556;05.565;0.679389
05.556;05.566;0.557252
05.556;05.567;0.541985
05.556;05.568;0.335878
05.556;05.569;0.48855
05.556;05.570;0.564885
05.556;05.571;0.526718
05.556;05.572;0
05.556;05.573;0.465649
05.556;05.574;0.541985
05.556;05.575;0.534351
05.556;05.576;0.572519
05.556;05.577;0
05.556;05.578;0
05.556;05.579;0.427481
05.556;05.580;0
05.556;05.581;0.572519
05.556;05.582;0.419847
05.556;05.583;0.534351
05.556;05.584;0.549618
05.556;05.585;0.374046
05.556;05.586;0.572519
05.556;05.587;0.572519
05.556;05.588;0.816794
05.556;05.589;0.572519
05.556;05.590;0.908397
05.556;05.591;0.572519
05.556;05.592;0.572519
05.556;05.593;0.778626
05.556;05.594;0
05.556;05.595;0.816794
05.556;05.596;0
05.556;05.597;0.541985
05.556;05.598;0.572519
05.556;05.599;0.572519
05.556;05.600;0
05.556;05.601;0.572519
05.556;05.604;0.740458
05.556;05.607;0.854962
05.556;05.611;0.572519
05.556;05.613;0.572519
05.556;05.614;0
05.556;05.615;0
05.556;05.616;0.572519
05.556;22.400;0.572519
05.557;05.554;0.908397
05.557;05.555;0.854962
05.557;05.556;0
05.557;05.557;0
05.557;05.558;0.641221
05.557;05.559;0.618321
05.557;05.560;0.549618
05.557;05.561;0.641221
05.557;05.562;0.564885
05.557;05.563;0.587786
05.557;05.564;0.618321
05.557;05.565;0.618321
05.557;05.566;0.641221
05.557;05.567;0.541985
05.557;05.568;0.305344
05.557;05.569;0.503817
05.557;05.570;0.580153
05.557;05.571;0.564885
05.557;05.572;0.770992
05.557;05.573;0.48855
05.557;05.574;0.557252
05.557;05.575;0.633588
05.557;05.576;0.641221
05.557;05.577;0.725191
05.557;05.578;0.656489
05.557;05.579;0.496183
05.557;05.580;0.770992
05.557;05.581;0.641221
05.557;05.582;0.442748
05.557;05.583;0.641221
05.557;05.584;0.618321
05.557;05.585;0.381679
05.557;05.586;0.641221
05.557;05.587;0.641221
05.557;05.588;0.664122
05.557;05.589;0.641221
05.557;05.590;0.671756
05.557;05.591;0.59542
05.557;05.592;0.587786
05.557;05.593;0.748092
05.557;05.594;0
05.557;05.595;0.648855
05.557;05.596;0.633588
05.557;05.597;0.59542
05.557;05.598;0.641221
05.557;05.599;0.641221
05.557;05.600;0.351145
05.557;05.601;0.641221
05.557;05.604;0.564885
05.557;05.607;0.694656
05.557;05.611;0.641221
05.557;05.613;0.641221
05.557;05.614;0.625954
05.557;05.615;0
05.557;05.616;0.641221
05.557;22.400;0.641221
05.558;05.554;0.519084
05.558;05.555;0.709924
05.558;05.556;0.625954
05.558;05.557;0.717557
05.558;05.558;0
05.558;05.559;0.725191
05.558;05.560;0.656489
05.558;05.561;0.80916
05.558;05.562;0.664122
05.558;05.563;0.709924
05.558;05.564;0.78626
05.558;05.565;0
05.558;05.566;0.687023
05.558;05.567;0.633588
05.558;05.568;0.351145
05.558;05.569;0.564885
05.558;05.570;0.694656
05.558;05.571;0.664122
05.558;05.572;0.496183
05.558;05.573;0.519084
05.558;05.574;0.709924
05.558;05.575;0.641221
05.558;05.576;0.755725
05.558;05.577;0
05.558;05.578;0.679389
05.558;05.579;0.496183
05.558;05.580;0.48855
05.558;05.581;0.717557
05.558;05.582;0.48855
05.558;05.583;0.664122
05.558;05.584;0.717557
05.558;05.585;0.450382
05.558;05.586;0.70229
05.558;05.587;0.770992
05.558;05.588;0.625954
05.558;05.589;0.709924
05.558;05.590;0.679389
05.558;05.591;0.694656
05.558;05.592;0.70229
05.558;05.593;0.435115
05.558;05.594;0.664122
05.558;05.595;0.732824
05.558;05.596;0
05.558;05.597;0.755725
05.558;05.598;0.80916
05.558;05.599;0.793893
05.558;05.600;0.671756
05.558;05.601;0.748092
05.558;05.604;0
05.558;05.607;0.694656
05.558;05.611;0.748092
05.558;05.613;0.801527
05.558;05.614;0.70229
05.558;05.615;0
05.558;05.616;0.80916
05.558;22.400;0.80916
05.559;05.554;0
05.559;05.555;0
05.559;05.556;0
05.559;05.557;0.717557
05.559;05.558;0.770992
05.559;05.559;0
05.559;05.560;0.656489
05.559;05.561;0.725191
05.559;05.562;0.633588
05.559;05.563;0.671756
05.559;05.564;0.70229
05.559;05.565;0
05.559;05.566;0.648855
05.559;05.567;0.633588
05.559;05.568;0.351145
05.559;05.569;0.564885
05.559;05.570;0.687023
05.559;05.571;0.625954
05.559;05.572;0.709924
05.559;05.573;0.519084
05.559;05.574;0.664122
05.559;05.575;0.625954
05.559;05.576;0.717557
05.559;05.577;0
05.559;05.578;0
05.559;05.579;0.496183
05.559;05.580;0.717557
05.559;05.581;0.679389
05.559;05.582;0.48855
05.559;05.583;0.625954
05.559;05.584;0.679389
05.559;05.585;0.435115
05.559;05.586;0.664122
05.559;05.587;0.725191
05.559;05.588;0.763359
05.559;05.589;0.671756
05.559;05.590;0
05.559;05.591;0.694656
05.559;05.592;0.694656
05.559;05.593;0
05.559;05.594;0.770992
05.559;05.595;0.770992
05.559;05.596;0
05.559;05.597;0.679389
05.559;05.598;0.725191
05.559;05.599;0.725191
05.559;05.600;0.526718
05.559;05.601;0.709924
05.559;05.604;0.572519
05.559;05.607;0.572519
05.559;05.611;0.717557
05.559;05.613;0.725191
05.559;05.614;0.519084
05.559;05.615;0.572519
05.559;05.616;0.725191
05.559;22.400;0.725191
05.560;05.554;0.496183
05.560;05.555;0.519084
05.560;05.556;0.549618
05.560;05.557;0
05.560;05.558;0.557252
05.560;05.559;0.541985
05.560;05.560;0
05.560;05.561;0.656489
05.560;05.562;0.587786
05.560;05.563;0.603053
05.560;05.564;0.633588
05.560;05.565;0.48855
05.560;05.566;0.580153
05.560;05.567;0.580153
05.560;05.568;0.351145
05.560;05.569;0.51145
05.560;05.570;0.633588
05.560;05.571;0.557252
05.560;05.572;0.564885
05.560;05.573;0.465649
05.560;05.574;0.610687
05.560;05.575;0.557252
05.560;05.576;0.648855
05.560;05.577;0.526718
05.560;05.578;0
05.560;05.579;0.48855
05.560;05.580;0.465649
05.560;05.581;0.610687
05.560;05.582;0.435115
05.560;05.583;0.557252
05.560;05.584;0.610687
05.560;05.585;0.427481
05.560;05.586;0.59542
05.560;05.587;0.656489
05.560;05.588;0.541985
05.560;05.589;0.603053
05.560;05.590;0.534351
05.560;05.591;0.641221
05.560;05.592;0.641221
05.560;05.593;0.572519
05.560;05.594;0
05.560;05.595;0
05.560;05.596;0.427481
05.560;05.597;0.610687
05.560;05.598;0.656489
05.560;05.599;0.656489
05.560;05.600;0
05.560;05.601;0.641221
05.560;05.604;0.572519
05.560;05.607;0.419847
05.560;05.611;0.648855
05.560;05.613;0.656489
05.560;05.614;0.534351
05.560;05.615;0.549618
05.560;05.616;0.656489
05.560;22.400;0.656489
05.561;05.554;0.374046
05.561;05.555;0.572519
05.561;05.556;0.572519
05.561;05.557;0
05.561;05.558;0.572519
05.561;05.559;0
05.561;05.560;0.572519
05.561;05.561;0
05.561;05.562;0.664122
05.561;05.563;0.717557
05.561;05.564;0.877863
05.561;05.565;0
05.561;05.566;0.687023
05.561;05.567;0.633588
05.561;05.568;0.374046
05.561;05.569;0.564885
05.561;05.570;0.694656
05.561;05.571;0.694656
05.561;05.572;0
05.561;05.573;0.519084
05.561;05.574;0.709924
05.561;05.575;0.641221
05.561;05.576;0.847328
05.561;05.577;0
05.561;05.578;0
05.561;05.579;0.496183
05.561;05.580;0.541985
05.561;05.581;0.80916
05.561;05.582;0.48855
05.561;05.583;0.755725
05.561;05.584;0.770992
05.561;05.585;0.541985
05.561;05.586;0.748092
05.561;05.587;0.862595
05.561;05.588;0.572519
05.561;05.589;0.770992
05.561;05.590;0.572519
05.561;05.591;0.694656
05.561;05.592;0.70229
05.561;05.593;0
05.561;05.594;0.572519
05.561;05.595;0
05.561;05.596;0
05.561;05.597;0.847328
05.561;05.598;0.900763
05.561;05.599;0.824427
05.561;05.600;0.572519
05.561;05.601;0.816794
05.561;05.604;0.572519
05.561;05.607;0
05.561;05.611;0.748092
05.561;05.613;0.89313
05.561;05.614;0
05.561;05.615;0.572519
05.561;05.616;0.900763
05.561;22.400;0.900763
05.562;05.554;0.572519
05.562;05.555;0
05.562;05.556;0.641221
05.562;05.557;0.618321
05.562;05.558;0.549618
05.562;05.559;0.641221
05.562;05.560;0.564885
05.562;05.561;0.587786
05.562;05.562;0
05.562;05.563;0.580153
05.562;05.564;0.648855
05.562;05.565;0
05.562;05.566;0.564885
05.562;05.567;0.572519
05.562;05.568;0.305344
05.562;05.569;0.48855
05.562;05.570;0.618321
05.562;05.571;0.534351
05.562;05.572;0.641221
05.562;05.573;0.450382
05.562;05.574;0.618321
05.562;05.575;0.564885
05.562;05.576;0.625954
05.562;05.577;0.541985
05.562;05.578;0.305344
05.562;05.579;0.473282
05.562;05.580;0.503817
05.562;05.581;0.587786
05.562;05.582;0.412214
05.562;05.583;0.564885
05.562;05.584;0.59542
05.562;05.585;0.366412
05.562;05.586;0.572519
05.562;05.587;0.641221
05.562;05.588;0.580153
05.562;05.589;0.580153
05.562;05.590;0.564885
05.562;05.591;0.618321
05.562;05.592;0.625954
05.562;05.593;0
05.562;05.594;0.48855
05.562;05.595;0.557252
05.562;05.596;0.633588
05.562;05.597;0.618321
05.562;05.598;0.664122
05.562;05.599;0.664122
05.562;05.600;0.641221
05.562;05.601;0.618321
05.562;05.604;0
05.562;05.607;0
05.562;05.611;0.625954
05.562;05.613;0.664122
05.562;05.614;0.496183
05.562;05.615;0
05.562;05.616;0.664122
05.562;22.400;0.664122
05.563;05.554;0.641221
05.563;05.555;0.442748
05.563;05.556;0.641221
05.563;05.557;0.618321
05.563;05.558;0.381679
05.563;05.559;0.641221
05.563;05.560;0.641221
05.563;05.561;0
05.563;05.562;0.641221
05.563;05.563;0
05.563;05.564;0.694656
05.563;05.565;0.59542
05.563;05.566;0.633588
05.563;05.567;0.580153
05.563;05.568;0.335878
05.563;05.569;0.541985
05.563;05.570;0.633588
05.563;05.571;0.641221
05.563;05.572;0.587786
05.563;05.573;0.48855
05.563;05.574;0.610687
05.563;05.575;0.587786
05.563;05.576;0.709924
05.563;05.577;0
05.563;05.578;0
05.563;05.579;0.442748
05.563;05.580;0
05.563;05.581;0.671756
05.563;05.582;0.442748
05.563;05.583;0.618321
05.563;05.584;0.671756
05.563;05.585;0.40458
05.563;05.586;0.656489
05.563;05.587;0.717557
05.563;05.588;0
05.563;05.589;0.664122
05.563;05.590;0.59542
05.563;05.591;0.641221
05.563;05.592;0.641221
05.563;05.593;0.641221
05.563;05.594;0.641221
05.563;05.595;0
05.563;05.596;0.641221
05.563;05.597;0.687023
05.563;05.598;0.717557
05.563;05.599;0.717557
05.563;05.600;0
05.563;05.601;0.70229
05.563;05.604;0
05.563;05.607;0.641221
05.563;05.611;0.694656
05.563;05.613;0.717557
05.563;05.614;0.641221
05.563;05.615;0
05.563;05.616;0.717557
05.563;22.400;0.717557
05.564;05.554;0
05.564;05.555;0.641221
05.564;05.556;0.641221
05.564;05.557;0
05.564;05.558;0.725191
05.564;05.559;0.656489
05.564;05.560;0.80916
05.564;05.561;0.664122
05.564;05.562;0.709924
05.564;05.563;0.78626
05.564;05.564;0
05.564;05.565;0.687023
05.564;05.566;0.664122
05.564;05.567;0.610687
05.564;05.568;0.366412
05.564;05.569;0.549618
05.564;05.570;0.671756
05.564;05.571;0.671756
05.564;05.572;0.633588
05.564;05.573;0.503817
05.564;05.574;0.687023
05.564;05.575;0.618321
05.564;05.576;0.824427
05.564;05.577;0.351145
05.564;05.578;0.564885
05.564;05.579;0.480916
05.564;05.580;0.694656
05.564;05.581;0.78626
05.564;05.582;0.473282
05.564;05.583;0.732824
05.564;05.584;0.748092
05.564;05.585;0.519084
05.564;05.586;0.725191
05.564;05.587;0.839695
05.564;05.588;0.664122
05.564;05.589;0.748092
05.564;05.590;0
05.564;05.591;0.671756
05.564;05.592;0.679389
05.564;05.593;0.519084
05.564;05.594;0.709924
05.564;05.595;0.641221
05.564;05.596;0.755725
05.564;05.597;0.824427
05.564;05.598;0.877863
05.564;05.599;0.801527
05.564;05.600;0
05.564;05.601;0.793893
05.564;05.604;0
05.564;05.607;0.496183
05.564;05.611;0.725191
05.564;05.613;0.870229
05.564;05.614;0
05.564;05.615;0.717557
05.564;05.616;0.877863
05.564;22.400;0.877863
05.565;05.554;0.48855
05.565;05.555;0.664122
05.565;05.556;0.717557
05.565;05.557;0.450382
05.565;05.558;0.70229
05.565;05.559;0.770992
05.565;05.560;0
05.565;05.561;0.709924
05.565;05.562;0
05.565;05.563;0.694656
05.565;05.564;0.70229
05.565;05.565;0
05.565;05.566;0
05.565;05.567;0
05.565;05.568;0
05.565;05.569;0.755725
