cfg_id;Dpop_variant;Ddif_variant;data_scope;cfg_setup;rows;students;semesters;n_real;rec_pass;rec_fail;nrec_pass;nrec_fail;rec_tot;nrec_tot;hit_rate;pass_rate_rec;pass_rate_nrec;delta_pass_rate;lift_pass_rate
1;unweighted;any;all;Dpop=unweighted, Ddif=any, scope=all;5411;3258;2;16092;5679;1532;7356;1525;7211;8881;0.448110862540393;0.787546803494661;0.828285103028938;-0.0407382995342773;0.950816090516053
2;unweighted;any;new;Dpop=unweighted, Ddif=any, scope=new;5411;3258;2;16092;5815;1531;7220;1526;7346;8746;0.456500124285359;0.791587258371903;0.825520237823005;-0.0339329794511017;0.958895036249399
3;weighted;any;all;Dpop=weighted, Ddif=any, scope=all;5411;3258;2;16092;5805;1528;7230;1529;7333;8759;0.455692269450659;0.791626892131461;0.825436693686494;-0.0338098015550333;0.959040103482637
4;weighted;any;new;Dpop=weighted, Ddif=any, scope=new;5411;3258;2;16092;5699;1547;7336;1510;7246;8846;0.450285856326125;0.786502898150704;0.82930137915442;-0.0427984810037162;0.948392126096119
5;unweighted;both;all;Dpop=unweighted, Ddif=both, scope=all;5411;3258;2;16092;5785;1562;7250;1495;7347;8745;0.456562266964952;0.787396216142643;0.82904516866781;-0.041648952525167;0.949762746229988
6;unweighted;both;new;Dpop=unweighted, Ddif=both, scope=new;5411;3258;2;16092;5841;1599;7194;1458;7440;8652;0.46234153616704;0.78508064516129;0.831484049930652;-0.0464034047693616;0.944192068659367
7;weighted;both;all;Dpop=weighted, Ddif=both, scope=all;5411;3258;2;16092;5618;1597;7417;1460;7215;8877;0.448359433258762;0.778655578655579;0.835530021403627;-0.0568744427480486;0.931930102699956
8;weighted;both;new;Dpop=weighted, Ddif=both, scope=new;5411;3258;2;16092;5869;1570;7166;1487;7439;8653;0.462279393487447;0.788950127705337;0.82815208598174;-0.0392019582764036;0.952663334501016
